Filename,Method,Violated API,Violation Pattern,Missing condition,Support,Balanced,SpecialFlg, SortingSupport, MID
UnionSubclassEntityPersister.java,UnionSubclassEntityPersister,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.9750603437423706,0,2,0.9750603437423706,640
MultiTableUpdateExecutor.java,execute,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
HqlSqlWalker.java,postProcessDML,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7186761498451233,0,2,0.7186761498451233,1841
NestableDelegate.java,trimStackFrames,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
HqlSqlWalker.java,lookupNonQualifiedProperty,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7186761498451233,0,2,0.7186761498451233,1841
CalendarType.java,compare,"java.util.Comparator,compare(java.lang.Object,java.lang.Object)","java.util.Comparator,compare(MULTICURRTYPES,MULTICURRTYPES)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.Comparator,compare(MULTICURRTYPES,MULTICURRTYPES)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.9523809552192688,0,0,0.9523809552192688,999
LazyIterator.java,next,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.9750603437423706,0,2,0.9750603437423706,640
SimpleValue.java,createIdentifierGenerator,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.9750603437423706,0,2,0.9750603437423706,640
PersistentList.java,getDeletes,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
AbstractCollectionPersister.java,getSize,"java.sql.ResultSet,getInt(int)","java.sql.ResultSet,next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.sql.ResultSet,next()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.75,0,2,0.75,8996
PersistentList.java,getSnapshotElement,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7186761498451233,0,2,0.7186761498451233,1841
JDBCContext.java,registerSynchronizationIfPossible,"javax.transaction.TransactionManager,getTransaction()","javax.transaction.TransactionManager,getTransaction()#RETURN_PATTERNS#NULL_CHECK#(1)&&","javax.transaction.TransactionManager,getTransaction()#RETURN_PATTERNS#NULL_CHECK#",0.5299999713897705,0,2,0.5299999713897705,3626
SelectClause.java,initializeExplicitSelectClause,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
JoinProcessor.java,processJoins,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.7936210036277771,0,2,0.7936210036277771,1111
CalendarDateType.java,compare,"java.util.Comparator,compare(java.lang.Object,java.lang.Object)","java.util.Comparator,compare(MULTICURRTYPES,MULTICURRTYPES)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.Comparator,compare(MULTICURRTYPES,MULTICURRTYPES)#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.9523809552192688,0,0,0.9523809552192688,999
