ClassName of AcceptChar	AutomatonToCode.81027.224448.pex\ncover_report.html	AutomatonToCode.81028.023513.pex\ncover_report.html	Diff:Col1-Col2 
1_1_20_10_26_2008_10_15_00_PM_719.cs	0	0	0
1_1_20_10_26_2008_10_14_58_PM_560.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_459.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_564.cs	100	100	0
1_1_20_10_26_2008_10_15_00_PM_739.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_738.cs	0	0	0
1_1_20_10_26_2008_10_14_57_PM_450.cs	100	100	0
1_1_20_10_26_2008_10_15_00_PM_735.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_734.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_737.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_736.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_731.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_730.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_733.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_732.cs	0	0	0
1_1_20_10_26_2008_10_14_54_PM_104.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_106.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_64.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_12.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_349.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_588.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_226.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_568.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_490.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_57.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_343.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_581.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_582.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_346.cs	66.7	66.7	0
1_1_20_10_26_2008_10_14_58_PM_584.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_585.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_586.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_648.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_649.cs	0	0	0
1_1_20_10_26_2008_10_14_58_PM_565.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_566.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_567.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_623.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_624.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_625.cs	0	0	0
