$$ Transaction 0 $$
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [extractData] [Average Execution Time:0.00391] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [createDataCacheEntry] [Average Execution Time:0.00391] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForCUSTOMERID] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForPASSWORD] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForFIRSTNAME] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForLASTNAME] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForADDR1] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForADDR2] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForADDRCITY] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForADDRSTATE] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForADDRZIP] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanCacheEntryImpl_f03aa728] [setDataForPHONE] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [getNumberOfFields] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [setEntityContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [setEntityContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [_WSCB_getInstanceInfo] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbActivate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [ejbActivate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbLoad] [Average Execution Time:0.04297] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [equals] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [hydrate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [ejbLoad] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPCustomer_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbStore] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [ejbStore] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbPassivate] [Average Execution Time:0.00391] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [ejbPassivate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [resetCMP] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [resetCMR] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [requestDispatch] [Average Execution Time:0.01172] 

$$ Transaction 1 $$
[Average Response Time: 0.060546875] [Total:2]
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [doPost] [Average Execution Time:1.12109] 
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [performTask] [Average Execution Time:1.12109] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [debug] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb._LoginHome_Stub] [create] [Average Execution Time:1.01172] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLoginHome_8dbe8965_Tie] [getTarget] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLoginHome_8dbe8965] [create] [Average Execution Time:1.00391] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSStatelessLoginHomeBean_8dbe8965] [create] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [orb] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Login_Stub] [createNewUser] [Average Execution Time:1.07422] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [getTarget] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLogin_8dbe8965] [createNewUser] [Average Execution Time:1.07422] 
[com.ibm.websphere.samples.plantsbywebsphereejb.LoginBean] [createNewUser] [Average Execution Time:1.05859] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [getEJBLocalHome] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPCustomerHome_f03aa728] [findByPrimaryKeyUpdate] [Average Execution Time:1.05859] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSCMPCustomerHomeBean_f03aa728] [findByPrimaryKeyUpdate_Local] [Average Execution Time:1.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [ejbFindByPrimaryKeyUpdate_Local] [Average Execution Time:1.04688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [getInjector] [Average Execution Time:1] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanInjectorImpl_f03aa728] [ejbFindByPrimaryKeyUpdate] [Average Execution Time:1] 
