subject,Jung,OpenJGraph,JGrapht,Grappa
3.612522414,0,0,0,0
3.614374382,0,0,0,0
3.616220847,0,0,0,0
3.61806184,0,0,0,0
3.619897395,0,0,0,0
3.621727544,0.21,0,0,0
3.623552317,0,0,0,0
3.625371747,0,0,0,0
3.627185865,0,0,0,0
3.628994702,0,0,0,0
3.630798288,0,0,0,0
3.632596654,0,0,0,0
3.634389829,0.21,0,0,0
3.636177845,0,0,0,0
3.63796073,0,0,0,0
3.639738513,0,0,0,0
3.641511225,0,0,0,0
3.643278893,0,0,0,0.21
3.645041546,0,0,0,0
3.646799213,0,0,0,0
3.648551922,0,0,0,0
3.650299701,0,0,0,0
3.652042577,0.21,0,0,0
3.653780578,0,0,0,0
3.655513731,0,0,0,0
3.657242063,0,0,0,0
3.658965601,0,0,0,0
3.660684371,0,0,0,0
3.662398399,0,0,0,0
3.664107712,0,0,0,0
3.665812336,0,0,0,0
3.667512296,0,0,0,0
3.669207617,0,0,0,0
3.670898326,0,0,0,0
3.672584446,0,0,0,0
3.674266003,0.21,0,0,0
3.675943021,0,0,0,0
3.677615526,0,0,0,0
3.67928354,0,0,0,0
3.680947088,0,0,0,0
3.682606194,0,0,0,0
3.684260882,0,0,0,0
3.685911175,0,0,0,0
3.687557097,0,0,0,0
3.689198669,0,0,0,0
3.690835917,0,0,0,0
3.692468861,0,0,0,0
3.694097525,0.21,0,0,0.21
3.695721931,0.21,0,0,0
3.697342101,0,0,0,0
3.698958058,0,0,0,0
3.700569822,0,0,0,0
3.702177417,0,0,0,0
3.703780863,0,0,0,0
3.705380181,0,0,0,0
3.706975394,0,0,0,0
3.708566521,0,0,0,0
3.710153584,0,0,0,0
3.711736604,0,0,0,0
3.713315601,0,0,0,0
3.714890595,0,0,0,0
3.716461608,0.430676558,0,0,0
3.718028657,0,0,0,0
3.719591765,0,0,0,0
3.72115095,0,0,0,0
3.722706232,0,0,0,0.21
3.724257631,0,0,0,0.21
3.725805166,0,0,0,0
3.727348856,0,0,0,0
3.72888872,0,0,0,0
3.730424778,0,0,0,0
3.731957047,0,0,0,0
3.733485547,0,0,0,0
3.735010296,0,0,0,0
3.736531313,0,0,0,0
3.738048615,0,0,0,0
3.739562221,0,0,0,0
3.741072149,0,0,0,0
3.742578416,0,0,0,0
3.744081041,0,0,0,0
3.74558004,0,0,0,0
3.747075432,0,0,0,0
3.748567233,0,0,0,0
3.750055461,0,0,0,0
3.751540133,0,0,0,0
3.753021266,0,0,0,0
3.754498876,0,0,0,0
3.755972981,0,0,0,0
3.757443597,0,0,0,0
3.758910741,0,0,0,0
3.760374428,0,0,0,0
3.761834675,0,0,0,0
3.763291499,0,0,0,0
3.764744914,0,0,0,0
3.766194938,0,0,0,0
3.767641586,0,0,0,0
3.769084873,0,0,0,0
3.770524816,0,0,0,0
3.771961429,0,0,0,0
3.773394728,0,0,0,0
3.774824729,0,0,0,0
3.776251446,0,0,0,0
3.777674894,0,0,0,0
3.779095089,0.21,0,0,0
3.780512045,0,0,0,0
3.781925777,0,0,0,0
3.783336299,0,0,0,0
3.784743627,0.21,0,0,0
3.786147774,0,0,0,0
3.787548756,0,0,0,0
3.788946585,0,0,0,0
3.790341277,0,0,0,0
3.791732845,0,0,0,0
3.793121304,0,0,0,0
3.794506666,0,0,0,0
3.795888947,0,0,0,0.21
3.797268159,0,0,0,0
3.798644317,0,0,0,0
3.800017434,0,0,0,0
3.801387522,0,0,0,0
3.802754596,0,0,0,0
3.804118669,0,0,0,0
3.805479754,0,0,0,0
3.806837864,0.21,0,0,0
3.808193011,0.21,0,0,0
3.80954521,0,0,0,0
3.810894472,0,0,0,0
3.81224081,0,0,0,0
3.813584237,0,0,0,0
3.814924766,0,0,0,0
3.816262409,0,0,0,0
3.817597179,0,0,0,0
3.818929087,0,0,0,0
3.820258146,0,0,0,0
3.821584369,0,0,0,0
3.822907766,0,0,0,0
3.824228351,0,0,0,0
3.825546135,0,0,0,0
3.82686113,0,0,0,0
3.828173348,0,0,0,0
3.8294828,0,0,0,0
3.830789499,0,0,0,0
3.832093455,0,0,0,0
3.833394681,0,0,0,0
3.834693187,0,0,0,0
3.835988985,0,0,0,0
3.837282086,0,0,0,0
3.838572502,0.21,0,0,0
3.839860243,0,0,0,0
3.841145321,0,0,0,0
3.842427746,0,0,0,0
3.843707531,0,0,0,0
3.844984684,0,0,0,0
3.846259218,0,0,0,0
3.847531142,0,0,0,0
3.848800468,0,0,0,0
3.850067207,0,0,0,0
3.851331368,0,0,0,0
3.852592962,0,0,0,0
3.853852,0,0,0,0
3.855108491,0,0,0,0
3.856362447,0,0,0,0
3.857613878,0,0,0,0
3.858862792,0,0,0,0
3.860109202,0,0,0,0
3.861353116,0,0,0,0
3.862594545,0.21,0,0,0
3.863833498,0,0,0,0
3.865069986,0,0,0,0
3.866304018,0,0,0,0
3.867535604,0,0,0,0
3.868764754,0,0,0,0
3.869991477,0,0,0,0
3.871215783,0,0,0,0
3.872437681,0,0,0,0
3.87365718,0,0,0,0
3.874874291,0,0,0,0
3.876089023,0,0,0,0
3.877301384,0,0,0,0
3.878511384,0,0,0,0
3.879719033,0,0,0,0
3.880924338,0,0,0,0
3.882127311,0,0,0,0
3.883327958,0,0,0,0
3.88452629,0,0,0,0
3.885722315,0,0,0,0
3.886916043,0,0,0,0
3.888107481,0,0,0,0
3.889296639,0,0,0,0
3.890483526,0,0,0,0
