$$ Transaction 0 $$
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanFunctionSet_53081ec0] [FindByCategory] [Average Execution Time:5.15039] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [extractPrimaryKey] [Average Execution Time:0.00371] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryKey] [-init-] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [extractData] [Average Execution Time:0.77938] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [createDataCacheEntry] [Average Execution Time:0.00146] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [-init-] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForINVENTORYID] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForNAME] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForHEADING] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForDESCRIPTION] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForPKGINFO] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMAGE] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMGBYTES] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForPRICE] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForCOST] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForCATEGORY] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForQUANTITY] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForNOTES] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForISPUBLIC] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForMINTHRESHOLD] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForMAXTHRESHOLD] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryKey] [hashCode] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [ejbActivate] [Average Execution Time:0.00009] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [ejbActivate] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [ejbLoad] [Average Execution Time:0.04363] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryKey] [equals] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [hydrate] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [ejbLoad] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventory_53081ec0] [-init-] [Average Execution Time:0.00005] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [extractPrimaryKey] [Average Execution Time:0.00012] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryKey] [-init-] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [extractData] [Average Execution Time:0.285] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [createDataCacheEntry] [Average Execution Time:0.00008] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [-init-] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForINVENTORYID] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForNAME] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForHEADING] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForDESCRIPTION] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForPKGINFO] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMAGE] [Average Execution Time:0.00001] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMGBYTES] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForPRICE] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForCOST] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForCATEGORY] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanCacheEntryImpl_53081ec0] [setDataForQUANTITY] [Average Execution Time:0.00001] 
